field,value
"record.candidateArm.servingLoad","6"
"record.candidateArm.servingSinrDb","-19.448440702145085"
"record.candidateArm.throughputMbps","0.5429442893910296"
"record.candidateArm.serviceStatus","served"
"record.candidateArm.serviceIdentity","shell-pro-53-P8-S4/0"
"record.candidateArm.producerStatus","valid"
"record.candidateArm.absenceReason",
"record.comparison.comparable","false"
"record.comparison.dataRetentionRatio",
"record.comparison.energySavingPct",
"record.comparison.lowSinrDeltaPp",
"record.comparison.runEeRatio",
"record.comparison.serviceQualified",
"record.comparison.qualified",
"record.comparison.reasonCode","WINDOW_START_MISMATCH"
"record.comparison.reasonCodes","WINDOW_START_MISMATCH|WINDOW_END_MISMATCH|WINDOW_DURATION_MISMATCH"
"record.comparison.dataRetentionGate",
"record.comparison.lowSinrGate",
"record.comparison.runEeGate",
"record.comparison.energySavingGate",
"record.producerStatus",
"record.systemPower",
"record.instantaneousEe",
"record.perUserContributionSum",
"record.ratioOfSums",
"record.sampleWindow",
"record.actualRf",
"record.ratedRf",
"record.serviceBeam",
"record.frameSimTime",
"record.evaluationData",
"record.evaluationEnergy",
"record.perUserContributions",
"record.fieldAbsenceReasons.absenceReason","no-blocking-condition"
"record.fieldAbsenceReasons.limitation","not-applicable-to-selected-task"
"record.fieldAbsenceReasons.paEfficiency","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.rfOutput","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.paInput","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.circuitPower","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.totalPower","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.scopeStatus","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.energyKnobs","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.paPower","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.handoverEnergy","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.handoverCount","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.radioEnergy","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.totalEnergy","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.runEe","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.lowSinr","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.bandwidth","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.reuseFactor","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.load","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.sinr","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.throughput","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.data","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.serviceStatus","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.servingSatellite","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.servingCell","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.servingBeam","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.sourceKind","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.beforeParams","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.afterParams","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.dataT4","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.energyT4","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.windowIdT4","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.simulationClock","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.playbackState","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.resetAction","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.producerStatus","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.systemPower","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.instantaneousEe","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.perUserContributionSum","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.ratioOfSums","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.sampleWindow","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.actualRf","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.ratedRf","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.serviceBeam","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.frameSimTime","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.evaluationData","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.evaluationEnergy","not-selected-or-unavailable-for-T5"
"record.fieldAbsenceReasons.perUserContributions","not-selected-or-unavailable-for-T5"
