field,value
"record.producerStatus",
"record.systemPower",
"record.instantaneousEe",
"record.perUserContributionSum",
"record.ratioOfSums",
"record.sampleWindow",
"record.actualRf",
"record.ratedRf",
"record.serviceBeam",
"record.frameSimTime",
"record.evaluationData",
"record.evaluationEnergy",
"record.perUserContributions",
"record.fieldAbsenceReasons.absenceReason","no-blocking-condition"
"record.fieldAbsenceReasons.tradeoff","not-applicable-to-selected-task"
"record.fieldAbsenceReasons.limitation","not-applicable-to-selected-task"
"record.fieldAbsenceReasons.paEfficiency","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.rfOutput","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.paInput","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.circuitPower","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.totalPower","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.scopeStatus","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.energyKnobs","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.paPower","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.handoverEnergy","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.handoverCount","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.radioEnergy","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.totalEnergy","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.runEe","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.lowSinr","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.bandwidth","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.reuseFactor","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.load","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.sinr","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.throughput","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.data","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.serviceStatus","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.servingSatellite","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.servingCell","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.servingBeam","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.sourceKind","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.explicitStateStatus","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.baselineArm","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.candidateArm","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.comparison","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.producerStatus","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.systemPower","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.instantaneousEe","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.perUserContributionSum","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.ratioOfSums","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.sampleWindow","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.actualRf","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.ratedRf","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.serviceBeam","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.frameSimTime","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.evaluationData","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.evaluationEnergy","not-selected-or-unavailable-for-T4"
"record.fieldAbsenceReasons.perUserContributions","not-selected-or-unavailable-for-T4"
